model,config,horizon,rmse,mae,mape,da
mistral-7b,full_model,1,0.0065003826826998,0.0042394567972421,0.5004857961658483,66.66666666666666
mistral-7b,prompt_only,1,0.0074691659209984,0.0050207179892063,0.5926657876365244,77.77777777777779
qwen2.5-7b,prompt_only,1,0.0079539591481934,0.0034287472444772,0.4084300498556141,55.55555555555556
llama3-8b,full_model,1,0.0084849930097231,0.0068057220053672,0.8009089055674731,55.55555555555556
qwen2.5-7b,full_model,1,0.0085164772193109,0.0047649500578641,0.5643530468349415,55.55555555555556
mistral-7b,news_only,1,0.008684452384915,0.0057977680301666,0.6850628693505261,55.55555555555556
qwen2.5-7b,baseline_llm,1,0.0091180055415966,0.006592895925045,0.7733735635100093,66.66666666666666
mistral-7b,baseline_llm,1,0.0105386107099394,0.0077765558493137,0.9135293303072956,77.77777777777779
llama3-8b,prompt_only,1,0.0131688432487627,0.0091692299944162,1.0837676980108764,33.33333333333333
llama3-8b,baseline_llm,1,0.0132554450813791,0.0112476737606525,1.3248273967009063,44.44444444444444
arima,baseline,1,0.0135064116823977,0.0118141230672579,1.2700774975940992,53.52112676056338
xgboost,baseline,1,0.0135659662081258,0.0118573451042175,1.2747090223016702,33.80281690140845
llama3-8b,news_only,1,0.0159802771561505,0.0128314261972904,1.5063280957302976,33.33333333333333
qwen2.5-7b,news_only,1,0.019002150749193,0.0160954182082414,1.8964346519412685,55.55555555555556
lstm,baseline,1,0.025223547116134,0.0242861447763219,2.615991335153274,16.901408450704224
itransformer,baseline,1,0.0757197664692909,0.0675073552131652,7.285819454134884,54.929577464788736
llama3-8b,prompt_only,10,0.0106533197669978,0.0089010096504688,1.047058975269222,42.64705882352941
qwen2.5-7b,baseline_llm,10,0.0109087707210362,0.0097282200107574,1.142592117154584,58.82352941176471
qwen2.5-7b,full_model,10,0.0111012675444898,0.0092024347761869,1.0823135993877795,44.11764705882353
qwen2.5-7b,news_only,10,0.0121310002756502,0.010124808404982,1.1915080168980894,50.0
mistral-7b,prompt_only,10,0.01266390161556,0.0106869951821565,1.2559530137088593,44.11764705882353
qwen2.5-7b,prompt_only,10,0.0129847214770679,0.010013929793477,1.1704444154562537,50.0
llama3-8b,full_model,10,0.0131755282483564,0.0112128137600421,1.3192306546658663,52.94117647058824
arima,baseline,10,0.0135064116823977,0.0118141230672579,1.2700774975940992,53.52112676056338
mistral-7b,news_only,10,0.0135623861152501,0.0112144295950531,1.3187683712608362,58.82352941176471
xgboost,baseline,10,0.0135659662081258,0.0118573451042175,1.2747090223016702,33.80281690140845
mistral-7b,full_model,10,0.0135885282159404,0.011150976778984,1.3116822114541256,39.70588235294117
mistral-7b,baseline_llm,10,0.0138488404427103,0.0111554686111211,1.3114520018712243,54.41176470588235
llama3-8b,baseline_llm,10,0.0145753026555089,0.0124953390795588,1.4654319471282646,52.94117647058824
llama3-8b,news_only,10,0.0173884885300537,0.0152321832484006,1.78863894622362,61.76470588235294
lstm,baseline,10,0.0273735407725647,0.0263702295286846,2.840582413763937,39.436619718309856
itransformer,baseline,10,0.0407089256853023,0.0383888638019561,4.136638098320893,46.478873239436616
qwen2.5-7b,prompt_only,5,0.009906751213495,0.0074228876706361,0.8718809514197696,45.94594594594595
qwen2.5-7b,baseline_llm,5,0.0100097382730553,0.0068795538187026,0.8095340199175269,62.16216216216216
mistral-7b,prompt_only,5,0.0108977289838838,0.0091080446199178,1.0731283452756386,48.64864864864865
llama3-8b,full_model,5,0.010911957559909,0.0086323545515537,1.016453827954538,59.45945945945946
mistral-7b,full_model,5,0.0109383062291094,0.0092389746178388,1.0875031936704975,59.45945945945946
mistral-7b,news_only,5,0.0113811375922136,0.0090411784768104,1.0629968696235306,48.64864864864865
mistral-7b,baseline_llm,5,0.0115838957172255,0.0093201437215805,1.096148181035378,56.75675675675676
llama3-8b,prompt_only,5,0.0117728700870875,0.0088404202660322,1.040757065013549,64.86486486486487
qwen2.5-7b,full_model,5,0.0122542911249072,0.0093854080828428,1.1029128677419902,51.35135135135135
llama3-8b,baseline_llm,5,0.0122662543220375,0.0097532170033454,1.147305440854234,64.86486486486487
qwen2.5-7b,news_only,5,0.0123686200710744,0.009853502038002,1.160343159928428,40.54054054054054
arima,baseline,5,0.0135064116823977,0.0118141230672579,1.2700774975940992,53.52112676056338
llama3-8b,news_only,5,0.0135246981075612,0.0110346856572628,1.297872289807856,56.75675675675676
xgboost,baseline,5,0.0135659662081258,0.0118573451042175,1.2747090223016702,33.80281690140845
itransformer,baseline,5,0.016473976822554,0.014878904223442,1.6007246624192548,49.29577464788733
lstm,baseline,5,0.0295251424234041,0.0285966033814015,3.080876969958247,35.2112676056338
